epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,train_macro_f1,validation_macro_f1
1,1.5655830287061225,1.5082852974314953,0.25969303171292585,0.4892745239816823,0.22706875001382193,0.28457120394578195
2,1.4429546717214254,1.3740387576607285,0.48141611850901117,0.48903350204868645,0.3552829830843064,0.32072514775493427
3,1.3610199866584805,1.351957713359521,0.48772661639659876,0.4750542299349241,0.3574053045725537,0.3480442160015527
4,1.3351711700151194,1.3392671687713902,0.504251564254773,0.5177151120751988,0.38868379189353924,0.3693044199384321
5,1.3044456098161157,1.3705936148816575,0.5240921974437136,0.457941672692215,0.3995974770537804,0.38413955856621546
6,1.2950488172040802,1.3198996812471513,0.5240387186480561,0.5254278139310677,0.41466982914408435,0.41055912230400426
7,1.2609394901901319,1.3181630722670188,0.5466067704155303,0.5278380332610267,0.4360145778771997,0.40363319594916647
8,1.2315149960068306,1.3217268715596653,0.5622760575431841,0.5063870812243915,0.45029373908718817,0.4130770071897465
9,1.2264973022407488,1.329793263958517,0.5630782394780469,0.5174740901422029,0.46590761111819406,0.3949933189504767
10,1.1990335722633643,1.3649052586087722,0.572918337879031,0.5061460592913956,0.4863889250728507,0.38819498275547026
11,1.167979837241699,1.3798302414044326,0.586448473180384,0.5092793444203423,0.5066969581824442,0.3815087825994108
12,1.1601842066853931,1.3732042619193081,0.5846301941280282,0.5032537960954447,0.5070038551928138,0.39517381784952144
13,1.135782090914658,1.4047110716846656,0.599978608481737,0.47288503253796094,0.5279543488120267,0.382215746915399
