depth_bucket,trajectory_count,percentage,proportion
2,22134,14.827468397676801,0.14827468397676802
3,7668,5.136759179243955,0.051367591792439556
4,15611,10.457739638390375,0.10457739638390375
5,15476,10.367303737347347,0.10367303737347347
6,12315,8.249763861813943,0.08249763861813943
7,20715,13.876886593380092,0.13876886593380092
8,8379,5.613054924737233,0.05613054924737233
9,18952,12.695860715314483,0.12695860715314483
10,6620,4.434708628924751,0.04434708628924751
11,13932,9.332984987640428,0.09332984987640427
12,3792,2.5402439759641475,0.025402439759641474
13+,3683,2.4672253595664437,0.024672253595664436
