step_depth,trajectories,avg_turns,avg_function_turns,avg_total_words,avg_function_ratio,avg_role_transition_ratio
2,27601,3.0,0.0,904.2119850730046,0.0,0.6666666666666666
3,9541,3.9813436746672255,0.0,1110.3964993187296,0.0,0.5031093875554624
4,19534,4.992525852359988,0.992833009112317,1011.146513770861,0.1985666018224634,0.7979010955257501
5,19238,5.896350972034515,0.9989603908930242,1202.7439442769519,0.16987905880722182,0.7832692241050698
6,15352,6.945088587806149,1.9478243877019281,1159.5557582073998,0.27958355046030914,0.8522885183255167
7,25920,7.842631172839506,1.9952546296296296,1316.6380787037037,0.25488242210464435,0.8574912735155791
8,10458,8.728437559762861,2.7521514629948367,1348.3635494358386,0.3133850595124261,0.8771491863144187
9,23655,9.888015218769816,2.9832170788416823,1470.4856055802156,0.3017426095358879,0.8924499334011066
10,8255,10.403028467595396,3.4375529981829196,1541.6866141732282,0.3285999826944709,0.8964520781056213
11,17406,11.831150178099506,3.9451913133402274,1622.0161438584396,0.3332428037702081,0.9131402355161403
12,4698,12.168369518944232,4.2401021711366536,1700.7801191996593,0.3470184951985718,0.9149976903329393
13,4411,13.638403990024937,4.858535479483111,1788.599410564498,0.3555671789859049,0.9243232528825365
14,195,11.825641025641026,3.9128205128205127,1755.9948717948719,0.32658119658119655,0.9114590964590964
