step_depth,trajectory_count,percentage,proportion
2,27601,14.818215006657217,0.14818215006657218
3,9541,5.122299531847271,0.05122299531847271
4,19534,10.487265386762875,0.10487265386762874
5,19238,10.328351157496886,0.10328351157496886
6,15352,8.242065025984624,0.08242065025984624
7,25920,13.915732508697332,0.13915732508697332
8,10458,5.614611519134132,0.05614611519134132
9,23655,12.699716531374822,0.12699716531374822
10,8255,4.431881630374092,0.044318816303740925
11,17406,9.3448009277155,0.093448009277155
12,4698,2.5222265172013913,0.025222265172013914
13,4411,2.3681441395009233,0.023681441395009235
14,195,0.10469011725293131,0.0010469011725293131
